STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,full_sdmx_key,abb_sdmx_key,abb_sdmx_key2
ADMIN,NB,L1,_T,_T,_T,G2_3,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,,W00,_Z,,,ADMIN.NB.L1._T._T._T.G2_3.INST_T._Z._Z._T._T._T.MATH._Z._T._Z._Z..W00._Z,ADMIN..1....G2_3.......MATH.......,admin-1-g2_3-math
ADMIN,NB,L1,_T,_T,_T,G2_3,INST_T,_Z,_Z,_T,_T,_T,READING,_Z,_T,_Z,_Z,,W00,_Z,,,ADMIN.NB.L1._T._T._T.G2_3.INST_T._Z._Z._T._T._T.READING._Z._T._Z._Z..W00._Z,ADMIN..1....G2_3.......READING.......,admin-1-g2_3-reading
ADMIN,NB,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,,W00,_Z,,,ADMIN.NB.L1._T._T._T.GLAST.INST_T._Z._Z._T._T._T.MATH._Z._T._Z._Z..W00._Z,ADMIN..1....GLAST.......MATH.......,admin-1-glast-math
ADMIN,NB,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,READING,_Z,_T,_Z,_Z,,W00,_Z,,,ADMIN.NB.L1._T._T._T.GLAST.INST_T._Z._Z._T._T._T.READING._Z._T._Z._Z..W00._Z,ADMIN..1....GLAST.......READING.......,admin-1-glast-reading
ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,READING,_Z,_T,_Z,_Z,,W00,_Z,,,ADMIN.NB.L2._T._T._T.GLAST.INST_T._Z._Z._T._T._T.READING._Z._T._Z._Z..W00._Z,ADMIN..2....GLAST.......READING.......,admin-2-glast-reading
ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,,W00,_Z,,,ADMIN.NB.L2._T._T._T.GLAST.INST_T._Z._Z._T._T._T.MATH._Z._T._Z._Z..W00._Z,ADMIN..2....GLAST.......MATH.......,admin-2-glast-math
AIR,GPI,L2,C4,_T,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.GPI.L2.C4._T._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR.GPI.2.C4...GLAST..............,air-gpi-2-c4-glast
AIR,GPI,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.GPI.L2.C4._T._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR.GPI.2.C4...G1..............,air-gpi-2-c4-g1
AIR,GPI,L2,_T,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.GPI.L2._T._T._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR.GPI.2....G1..............,air-gpi-2-g1
AIR,GPI,L1,_T,_T,TH_ENTRY_AGE,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.GPI.L1._T._T.TH_ENTRY_AGE.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR.GPI.1...TH_ENTRY_AGE.G1..............,air-gpi-1-th_entry_age-g1
