STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,full_sdmx_key,abb_sdmx_key
FEP,PT,L7,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L7._T.F._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L7..F................
FEP,PT,L7,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_X,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L7._T.F._T._T.INST_T._Z._Z._T._T._X._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L7..F................
FEP,PT,L5,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_X,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L5._T.F._T._T.INST_T._Z._Z._T._T._X._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L5..F................
FEP,PT,L5,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L5._T.F._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L5..F................
FEP,PT,L6,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L6._T.F._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L6..F................
FEP,PT,L6,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_X,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L6._T.F._T._T.INST_T._Z._Z._T._T._X._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L6..F................
FEP,PT,L8,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_X,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L8._T.F._T._T.INST_T._Z._Z._T._T._X._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L8..F................
FEP,PT,L8,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L8._T.F._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L8..F................
FEP,PT,L5T8,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L5T8._T.F._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L5T8..F................
FEP,PT,L5T8,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_X,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FEP.PT.L5T8._T.F._T._T.INST_T._Z._Z._T._T._X._Z._Z._Z._Z._Z..W00._Z,FEP.PT.L5T8..F................
FGP,PT,L5T8,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,FGP.PT.L5T8._T.F._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,FGP.PT.L5T8..F................
