Indicator ID, UIS.STAT,AGE,CONTRACT_TYPE,COUNTRY_ORIGIN,Dataflow / Dataset,EDU_ATTAIN,EDU_CAT,EDU_FIELD,EDU_LEVEL,EDU_TYPE,GRADE,IMM_STATUS,INFRASTR,Indicator ID,Indicator Label - EN,Indicator Section,LOCATION,REGION_DEST,SECTOR_EDU,SEX,SE_BKGRD,STAT_UNIT,SUBJECT,TEACH_EXPERIENCE,Table query,Theme,UNIT_MEASURE,WEALTH_QUINTILE,changes in Dec 2018 ,key,short_key
OFST.1.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFST.1.cp,"Out-of-school children of primary school age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1
OFST.1.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFST.1.F.cp,"Out-of-school children of primary school age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-f
OFST.1.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFST.1.M.cp,"Out-of-school children of primary school age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-m
FOFSTP.1,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,FOFSTP.1,"Out-of-school children of primary school age, percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L1._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-1-f
OFST.AgM1.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFST.AgM1.cp,"Out-of-school children, one year before the official primary entry age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T._T.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-under1_age
OFST.AgM1.F.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFST.AgM1.F.cp,"Out-of-school children, one year before the official primary entry age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T.F.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-f-under1_age
OFST.AgM1.M.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFST.AgM1.M.cp,"Out-of-school children, one year before the official primary entry age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T.M.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-m-under1_age
FOFST.AgM1.M.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,FOFST.AgM1.M.cp,"Out-of-school children, one year before the official primary entry age,  percentage female (%)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L1._T.M.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-1-m-under1_age
OFSPPT.1.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFSPPT.1.cp,"Out-of-school children of primary school age in pre-primary education, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T._T.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-isc1_in_isc02
OFSPPT.1.F.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFSPPT.1.F.cp,"Out-of-school children of primary school age in pre-primary education, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T.F.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-f-isc1_in_isc02
